gamma,val_accuracy,val_f1,val_fpr_AAE,val_fpr_SAE,val_fpr_gap,val_fnr_AAE,val_fnr_SAE,val_fnr_gap,test_accuracy,test_f1,test_fpr_AAE,test_fpr_SAE,test_fpr_gap,test_fnr_AAE,test_fnr_SAE,test_fnr_gap
0.0,0.8797417271993543,0.930965250965251,0.9259259259259259,0.5745393634840871,0.35138656244183886,0.0075675675675675675,0.033210332103321034,0.025642764535753468,0.8846153846153846,0.9337247026108451,0.8148148148148148,0.5618729096989966,0.25294190511581816,0.008648648648648649,0.029059040590405903,0.020410391941757255
0.02,0.879472693032015,0.9309919901417129,0.9259259259259259,0.5896147403685092,0.3363111855574167,0.006486486486486486,0.029981549815498155,0.02349506332901167,0.884077461000538,0.9334568473058514,0.7777777777777778,0.568561872909699,0.20921590486807884,0.00972972972972973,0.028136531365313654,0.018406801635583926
0.04,0.879472693032015,0.9308428527323248,0.9259259259259259,0.5778894472361809,0.3480364786897451,0.005405405405405406,0.03367158671586716,0.028266181310461755,0.8835395373856912,0.9331893226353958,0.7777777777777778,0.5735785953177257,0.2041991824600521,0.008648648648648649,0.028136531365313654,0.019487882716665003
0.06,0.880548829701372,0.9315237507711289,0.9259259259259259,0.5795644891122278,0.34636143681369813,0.004324324324324324,0.031826568265682656,0.02750224394135833,0.8821947283485745,0.9323656578134651,0.8148148148148148,0.5719063545150501,0.24290846029976465,0.008648648648648649,0.03044280442804428,0.021794155779395634
0.08,0.8837772397094431,0.9331889885555212,0.8888888888888888,0.5561139028475712,0.3327749860413176,0.008648648648648649,0.03136531365313653,0.02271666500448788,0.8824636901559978,0.9326137239784117,0.7407407407407407,0.5819397993311036,0.15880094140963708,0.008648648648648649,0.028136531365313654,0.019487882716665003
0.1,0.8821630347054076,0.9323865390552639,0.9259259259259259,0.5695142378559463,0.3564116880699796,0.0075675675675675675,0.03044280442804428,0.022875236860476714,0.8873050026896181,0.9352895752895752,0.7407407407407407,0.5585284280936454,0.18221231264709525,0.0075675675675675675,0.026752767527675275,0.01918519996010771
0.12,0.8802797955340328,0.9313801079414032,0.9259259259259259,0.5812395309882747,0.3446863949376512,0.0075675675675675675,0.03044280442804428,0.022875236860476714,0.8816568047337278,0.9320987654320988,0.7777777777777778,0.5785953177257525,0.19918246005202533,0.008648648648648649,0.029981549815498155,0.021332901166849508
0.14,0.8792036588646758,0.9307419404596637,0.9259259259259259,0.5829145728643216,0.34301135306160435,0.006486486486486486,0.03228782287822878,0.025801336391742296,0.8813878429263045,0.9319759370661731,0.7777777777777778,0.5819397993311036,0.19583797844667417,0.0075675675675675675,0.029981549815498155,0.022413982247930588
0.16,0.8797417271993543,0.9310291621663324,0.8888888888888888,0.5812395309882747,0.3076493579006141,0.005405405405405406,0.03274907749077491,0.027343672085369503,0.8819257665411512,0.9321798238838251,0.8148148148148148,0.5702341137123745,0.24458070110244023,0.0075675675675675675,0.031826568265682656,0.02425900069811509
0.18,0.8821630347054076,0.9323447636700649,0.9259259259259259,0.5661641541038526,0.35976177182207336,0.006486486486486486,0.031826568265682656,0.02534008177919617,0.8808499193114577,0.9316674379145458,0.7777777777777778,0.5836120401337793,0.19416573764399847,0.008648648648648649,0.029981549815498155,0.021332901166849508
0.2,0.8813559322033898,0.9318497913769124,0.9259259259259259,0.5661641541038526,0.35976177182207336,0.0075675675675675675,0.03274907749077491,0.02518150992320734,0.8821947283485745,0.9324699352451434,0.8148148148148148,0.580267558528428,0.23454725628638673,0.0075675675675675675,0.02859778597785978,0.021030218410292213
0.22,0.880548829701372,0.9315026226473311,0.9259259259259259,0.5778894472361809,0.3480364786897451,0.0075675675675675675,0.030904059040590407,0.02333649147302284,0.8838084991931145,0.933271547729379,0.7777777777777778,0.5668896321070234,0.21088814567075442,0.0075675675675675675,0.029981549815498155,0.022413982247930588
0.24,0.8797417271993543,0.9310291621663324,0.8888888888888888,0.5812395309882747,0.3076493579006141,0.005405405405405406,0.03274907749077491,0.027343672085369503,0.8843464228079613,0.9336829117828501,0.7777777777777778,0.5735785953177257,0.2041991824600521,0.008648648648648649,0.026752767527675275,0.018104118879026625
0.26,0.880548829701372,0.9314179796107507,0.9259259259259259,0.5711892797319933,0.35473664619393264,0.00972972972972973,0.031826568265682656,0.02209683853595293,0.8851533082302313,0.9340540540540541,0.7407407407407407,0.5652173913043478,0.17552334943639292,0.008648648648648649,0.028136531365313654,0.019487882716665003
0.28,0.8786655905299973,0.9304119734608857,0.9259259259259259,0.5829145728643216,0.34301135306160435,0.0075675675675675675,0.03274907749077491,0.02518150992320734,0.8862291554599246,0.9346112227546761,0.7777777777777778,0.5551839464882943,0.2225938312894835,0.008648648648648649,0.02859778597785978,0.01994913732921113
0.3,0.8816249663707291,0.9320987654320988,0.8888888888888888,0.5745393634840871,0.31434952540480177,0.008648648648648649,0.029981549815498155,0.021332901166849508,0.885691231845078,0.9342817380547395,0.7777777777777778,0.5551839464882943,0.2225938312894835,0.008648648648648649,0.02952029520295203,0.02087164655430338
0.32,0.8802797955340328,0.9312528966476131,0.9259259259259259,0.5711892797319933,0.35473664619393264,0.0075675675675675675,0.033210332103321034,0.025642764535753468,0.8870360408821947,0.9351050679851669,0.7777777777777778,0.5551839464882943,0.2225938312894835,0.008648648648648649,0.0272140221402214,0.01856537349157275
0.34,0.879472693032015,0.9308428527323248,0.9259259259259259,0.5778894472361809,0.3480364786897451,0.0075675675675675675,0.03274907749077491,0.02518150992320734,0.884884346422808,0.9338485316846986,0.7777777777777778,0.560200668896321,0.21757710888145676,0.008648648648648649,0.02952029520295203,0.02087164655430338
0.36,0.880548829701372,0.9314814814814815,0.9259259259259259,0.576214405360134,0.3497115205657919,0.0075675675675675675,0.03136531365313653,0.023797746085568963,0.8843464228079613,0.9334777227722773,0.8148148148148148,0.5551839464882943,0.2596308683265205,0.008648648648648649,0.03136531365313653,0.02271666500448788
0.38,0.8789346246973365,0.930534115467737,0.9259259259259259,0.5795644891122278,0.34636143681369813,0.004324324324324324,0.03459409594095941,0.030269771616635088,0.884077461000538,0.9333745555727315,0.7407407407407407,0.5635451505016722,0.1771955902390685,0.0075675675675675675,0.030904059040590407,0.02333649147302284
0.4,0.8832391713747646,0.9330040135844396,0.8888888888888888,0.5678391959798995,0.3210496929089893,0.003243243243243243,0.03136531365313653,0.028122070409893285,0.884077461000538,0.9334362934362934,0.7777777777777778,0.5668896321070234,0.21088814567075442,0.008648648648648649,0.029059040590405903,0.020410391941757255
0.42,0.8859295130481571,0.9345476999073788,0.8518518518518519,0.5611390284757118,0.29071282337614,0.004324324324324324,0.02859778597785978,0.024273461653535455,0.8813878429263045,0.9320597750731783,0.8148148148148148,0.5869565217391305,0.22785829307568428,0.008648648648648649,0.027675276752767528,0.019026628104118877
0.44,0.8824320688727468,0.932447055186273,0.9259259259259259,0.5611390284757118,0.3647868974502141,0.006486486486486486,0.03274907749077491,0.026262591004288422,0.8862291554599246,0.9345707656612529,0.7777777777777778,0.5518394648829431,0.22593831289483468,0.00972972972972973,0.029059040590405903,0.01932931086067617
0.46,0.8824320688727468,0.9324261635998145,0.9629629629629629,0.5577889447236181,0.40517401823934485,0.006486486486486486,0.033210332103321034,0.026723845616834548,0.8843464228079613,0.9336214881136153,0.8148148148148148,0.5668896321070234,0.2479251827077914,0.008648648648648649,0.028136531365313654,0.019487882716665003
0.48,0.8827011030400861,0.9325703680791835,0.8888888888888888,0.559463986599665,0.32942490228922383,0.006486486486486486,0.033210332103321034,0.026723845616834548,0.8824636901559978,0.9325721339299491,0.7777777777777778,0.5769230769230769,0.20085470085470092,0.00972972972972973,0.02859778597785978,0.018868056248130052
0.5,0.8813559322033898,0.9318076387815061,0.9259259259259259,0.5628140703517588,0.36311185557416714,0.0075675675675675675,0.03367158671586716,0.026104019148299594,0.884884346422808,0.9338280766852195,0.7777777777777778,0.5585284280936454,0.21924934968413234,0.0075675675675675675,0.03044280442804428,0.022875236860476714
0.52,0.8859295130481571,0.9344262295081968,0.9259259259259259,0.5477386934673367,0.3781872324585892,0.0075675675675675675,0.029981549815498155,0.022413982247930588,0.8830016137708445,0.9327354260089686,0.7777777777777778,0.5635451505016722,0.2142326272761056,0.0075675675675675675,0.03228782287822878,0.024720255310661216
0.54,0.8827011030400861,0.932674490426189,0.9629629629629629,0.5644891122278057,0.3984738507351572,0.0075675675675675675,0.03044280442804428,0.022875236860476714,0.8859601936525013,0.934344998451533,0.7777777777777778,0.5468227424749164,0.23095503530286143,0.00972972972972973,0.030904059040590407,0.021174329310860676
0.56,0.8808178638687113,0.9314347624206779,0.8888888888888888,0.5611390284757118,0.327749860413177,0.008648648648648649,0.03505535055350553,0.02640670190485688,0.8830016137708445,0.9326312529038253,0.7777777777777778,0.5551839464882943,0.2225938312894835,0.008648648648648649,0.03413284132841329,0.025484192679764636
0.58,0.879472693032015,0.9306286776091669,0.9259259259259259,0.5611390284757118,0.3647868974502141,0.0075675675675675675,0.03736162361623616,0.029794056048668596,0.8835395373856912,0.9330239752513534,0.8148148148148148,0.5585284280936454,0.2562863867211693,0.008648648648648649,0.031826568265682656,0.023177919617034005
0.6,0.8832391713747646,0.932983323038913,0.8888888888888888,0.5661641541038526,0.32272473478503627,0.005405405405405406,0.030904059040590407,0.025498653635185,0.8854222700376546,0.9341779975278122,0.8148148148148148,0.5585284280936454,0.2562863867211693,0.008648648648648649,0.02859778597785978,0.01994913732921113
0.62,0.8859295130481571,0.9343246592317225,0.8888888888888888,0.541038525963149,0.3478503629257398,0.0075675675675675675,0.03228782287822878,0.024720255310661216,0.8864981172673481,0.9346749226006192,0.7407407407407407,0.5484949832775919,0.19224575746314876,0.00972972972972973,0.029981549815498155,0.020251820085768424
0.64,0.8840462738767824,0.9332714042421427,0.9259259259259259,0.5477386934673367,0.3781872324585892,0.008648648648648649,0.03274907749077491,0.024100428842126258,0.884077461000538,0.9333127030790654,0.8148148148148148,0.5551839464882943,0.2596308683265205,0.008648648648648649,0.031826568265682656,0.023177919617034005
0.66,0.8824320688727468,0.932447055186273,0.8888888888888888,0.5628140703517588,0.32607481853713005,0.006486486486486486,0.03274907749077491,0.026262591004288422,0.8859601936525013,0.934487021013597,0.7777777777777778,0.5585284280936454,0.21924934968413234,0.008648648648648649,0.028136531365313654,0.019487882716665003
0.68,0.8821630347054076,0.9321561338289963,0.8888888888888888,0.5527638190954773,0.3361250697934115,0.008648648648648649,0.03505535055350553,0.02640670190485688,0.8862291554599246,0.9345910004638937,0.7777777777777778,0.5535117056856187,0.2242660720921591,0.0075675675675675675,0.02952029520295203,0.021952727635384462
0.7000000000000001,0.8837772397094431,0.9330232558139535,0.8888888888888888,0.542713567839196,0.34617532104969284,0.0075675675675675675,0.03551660516605166,0.02794903759848409,0.8835395373856912,0.9329825104472992,0.7407407407407407,0.5585284280936454,0.18221231264709525,0.0075675675675675675,0.033210332103321034,0.025642764535753468
0.72,0.8827011030400861,0.932528628907459,0.9259259259259259,0.5544388609715243,0.37148706495440165,0.005405405405405406,0.03459409594095941,0.029188690535554007,0.8854222700376546,0.9339739615623063,0.7407407407407407,0.5451505016722408,0.19559023906849993,0.0075675675675675675,0.03367158671586716,0.026104019148299594
0.74,0.8853914447134786,0.933953488372093,0.9259259259259259,0.5360134003350083,0.3899125255909176,0.008648648648648649,0.03367158671586716,0.02502293806721851,0.8838084991931145,0.9331683168316832,0.7407407407407407,0.560200668896321,0.18054007184441967,0.008648648648648649,0.031826568265682656,0.023177919617034005
0.76,0.8845843422114609,0.9336426914153132,0.9259259259259259,0.5510887772194305,0.3748371487064954,0.006486486486486486,0.031826568265682656,0.02534008177919617,0.884077461000538,0.9332300542215337,0.8148148148148148,0.5484949832775919,0.26631983153722283,0.008648648648648649,0.03367158671586716,0.02502293806721851
0.78,0.8867366155501749,0.9347388001860176,0.8888888888888888,0.5343383584589615,0.35455053042992735,0.008648648648648649,0.03228782287822878,0.02363917422958013,0.8851533082302313,0.9338906951540487,0.7777777777777778,0.5501672240802675,0.22761055369751027,0.00972972972972973,0.03136531365313653,0.021635583923406802
0.8,0.8861985472154964,0.9343269678621332,0.9259259259259259,0.525963149078727,0.39996277684719894,0.008648648648648649,0.03505535055350553,0.02640670190485688,0.8870360408821947,0.9349039057656541,0.8148148148148148,0.5367892976588629,0.2780255171559519,0.0075675675675675675,0.03228782287822878,0.024720255310661216
0.8200000000000001,0.8843153080441216,0.9334159182409415,0.9259259259259259,0.5460636515912898,0.37986227433463615,0.00972972972972973,0.03228782287822878,0.022558093148499055,0.8889187735341582,0.9359987602665427,0.7777777777777778,0.5334448160535117,0.2443329617242661,0.0075675675675675675,0.03044280442804428,0.022875236860476714
0.84,0.8837772397094431,0.9329608938547486,0.9259259259259259,0.5360134003350083,0.3899125255909176,0.010810810810810811,0.03551660516605166,0.024705794355240847,0.8867670790747714,0.9346577681204408,0.7777777777777778,0.5317725752508361,0.2460052025269417,0.0075675675675675675,0.03459409594095941,0.027026528373391846
0.86,0.8835082055421039,0.9327326394283051,0.9259259259259259,0.5309882747068677,0.3949376512190582,0.008648648648648649,0.038284132841328415,0.029635484192679765,0.8883808499193114,0.9356489378198171,0.7777777777777778,0.5317725752508361,0.2460052025269417,0.0075675675675675675,0.031826568265682656,0.02425900069811509
0.88,0.8840462738767824,0.9330433431722852,0.9259259259259259,0.5293132328308208,0.39661269309510516,0.008648648648648649,0.03782287822878229,0.02917422958013364,0.8881118881118881,0.9353434877214797,0.7777777777777778,0.520066889632107,0.2577108881456708,0.008648648648648649,0.03505535055350553,0.02640670190485688
0.9,0.8864675813828357,0.9344313238036047,0.8888888888888888,0.5226130653266332,0.36627582356225563,0.005405405405405406,0.03736162361623616,0.03195621821083076,0.885691231845078,0.9340369393139841,0.7777777777777778,0.5351170568561873,0.24266072092159052,0.0075675675675675675,0.03551660516605166,0.02794903759848409
0.92,0.8853914447134786,0.9338098197638285,0.8888888888888888,0.525963149078727,0.36292573981016185,0.003243243243243243,0.03920664206642067,0.03596339882317742,0.8859601936525013,0.9340590979782271,0.7777777777777778,0.5234113712374582,0.2543664065403196,0.0075675675675675675,0.038284132841328415,0.03071656527376085
0.9400000000000001,0.8832391713747646,0.9324828873677661,0.9259259259259259,0.52428810720268,0.4016378187232459,0.00972972972972973,0.04012915129151291,0.030399421561783185,0.8894566971490049,0.9359912786170378,0.7777777777777778,0.5050167224080268,0.27276105536975104,0.0075675675675675675,0.03736162361623616,0.029794056048668596
0.96,0.8878127522195319,0.9350972762645915,0.9259259259259259,0.507537688442211,0.4183882374837149,0.0075675675675675675,0.03782287822878229,0.030255310661214722,0.8886498117267349,0.9355942750466708,0.7407407407407407,0.5150501672240803,0.22569057351666044,0.0075675675675675675,0.03643911439114391,0.028871546823576344
0.98,0.8818940005380683,0.9318217114458767,0.9259259259259259,0.5376884422110553,0.38823748371487066,0.008648648648648649,0.03920664206642067,0.030557993417772017,0.8838084991931145,0.9330232558139535,0.7777777777777778,0.5468227424749164,0.23095503530286143,0.008648648648648649,0.03505535055350553,0.02640670190485688
